sid,mu1,mu2,y1,y2,intercept,x,traj_gt
0.0,0.9945900109868716,0.9995537047974605,1,1,1.0,-5.214083540972253,0.0
0.0,0.9769128070384921,0.9980638568965149,1,1,1.0,-3.7451193559186735,0.0
0.0,0.9399643792115262,0.9947845661221949,1,1,1.0,-2.7509039142183567,0.0
0.0,0.7897125353267158,0.9786096619687306,1,1,1.0,-1.3231935258548488,0.0
0.0,0.6990912812623741,0.965874017453073,1,1,1.0,-0.8429743633177085,0.0
0.0,0.36251082412731417,0.873858815821797,1,1,1.0,0.564482964354703,0.0
0.0,0.15362455836078334,0.6885927856664364,0,0,1.0,1.706451352511898,0.0
0.0,0.06167166947196103,0.4446588475391526,0,1,1.0,2.722275260613035,0.0
0.0,0.021874591177463567,0.21411248753718962,0,0,1.0,3.800312148655164,0.0
0.0,0.005366967367959621,0.06168118462541518,0,0,1.0,5.22211084465641,0.0
1.0,0.9936008859265134,0.9994716251392101,1,1,1.0,-5.045176048045635,0.0
1.0,0.9781409518079036,0.99816896071698,1,1,1.0,-3.8010388414278764,0.0
1.0,0.9353399207021845,0.9943574800588962,1,1,1.0,-2.671766016095127,0.0
1.0,0.8342889884995168,0.9839573929803169,1,0,1.0,-1.6163344746674342,0.0
1.0,0.5772484376765888,0.9432934692976946,0,1,1.0,-0.31148805834538207,0.0
1.0,0.3566590294415335,0.871030984182483,1,1,1.0,0.5898946387169237,0.0
1.0,0.14371443181025853,0.67155450755484,0,0,1.0,1.784775710029133,0.0
1.0,0.05932435945529474,0.43448426783299965,0,0,1.0,2.763578378562219,0.0
1.0,0.01922299664945215,0.19275024640239263,0,0,1.0,3.932237813606702,0.0
1.0,0.007373025334411713,0.08298021640658765,0,0,1.0,4.9025268234424395,0.0
2.0,0.9916110267688848,0.9993060474564235,1,1,1.0,-4.772412787369142,0.0
2.0,0.9818751661442068,0.9984870520365436,1,1,1.0,-3.992181144099226,0.0
2.0,0.9572054107693425,0.9963435752737814,1,1,1.0,-3.107606333971728,0.0
2.0,0.8342987205830297,0.9839585041608133,1,1,1.0,-1.6164048706973895,0.0
2.0,0.6559452436463,0.9587221985857385,0,1,1.0,-0.6452764952557654,0.0
2.0,0.33451369636985745,0.8596226991593816,0,1,1.0,0.6878402325232967,0.0
2.0,0.15744281659215728,0.6947923776442338,1,1,1.0,1.6773792103203915,0.0
2.0,0.06053500778766659,0.4397716835911023,0,1,1.0,2.7420887172046395,0.0
2.0,0.015431484186143063,0.16032745914588845,0,0,1.0,4.155793640093698,0.0
2.0,0.007220737982347385,0.08139434089803306,0,0,1.0,4.923551183990758,0.0
3.0,0.9941284632735152,0.9995154232548018,1,1,1.0,-5.131750044165303,0.0
3.0,0.9823975969471935,0.998531377486953,1,1,1.0,-4.021960681470597,0.0
3.0,0.9241734014799502,0.993310143910772,1,1,1.0,-2.500450582919977,0.0
3.0,0.8114977966222792,0.981289303845035,1,1,1.0,-1.4597719759334575,0.0
3.0,0.6749060291345254,0.9619645574397935,1,1,1.0,-0.7304591834230343,0.0
3.0,0.40409179845539184,0.892021244070574,1,0,1.0,0.3884445548991886,0.0
3.0,0.14992323088350357,0.6823942436509175,1,1,1.0,1.7352032930387342,0.0
3.0,0.04946029435138993,0.3879684714831681,0,1,1.0,2.9558597211121502,0.0
3.0,0.01678058744082672,0.17212950672438562,0,0,1.0,4.070609593500883,0.0
3.0,0.007562676500292649,0.08494822473910153,0,0,1.0,4.876938698474768,0.0
4.0,0.991269403278068,0.9992775593801942,1,1,1.0,-4.73215262676964,0.0
4.0,0.9820180578814052,0.9984991799282861,1,1,1.0,-4.000241658361732,0.0
4.0,0.9422053757421348,0.9949901532064598,1,1,1.0,-2.791327506337203,0.0
