intercept,age,age^2,id,data_names,traj_gt,y1,y2
1.0,51.02488741276979,2603.5391354858334,1,1_0,1,4.882693028136864,4.7645903412966035
1.0,56.02488741276979,3138.7880096135314,1,1_1,1,5.988381515004917,5.430396635163662
1.0,61.02488741276979,3724.0368837412293,1,1_2,1,4.878041831413546,5.214991935240077
1.0,45.2338802923702,2046.1039263044775,2,2_0,1,5.450973878405308,4.564992261419731
1.0,50.2338802923702,2523.4427292281794,2,2_1,1,4.9143824071674915,5.829626038443946
1.0,55.2338802923702,3050.7815321518815,2,2_2,1,4.740093408405587,4.8715524881767225
1.0,53.20264977487623,2830.5219430681377,3,3_0,1,5.825055276269629,5.761540554997877
1.0,58.20264977487623,3387.5484408169,3,3_1,1,5.015930461520554,5.307329917323907
1.0,63.20264977487623,3994.5749385656623,3,3_2,1,4.505607481950545,5.197042977136487
1.0,70.28458794052165,4939.923301968921,4,4_0,1,4.52770269893803,5.139701779932379
1.0,75.28458794052165,5667.769181374138,4,4_1,1,4.12402825498133,5.078528094480994
1.0,80.28458794052165,6445.615060779353,4,4_2,1,5.094894998757143,4.258006376861482
1.0,53.52591664090258,2865.023752248852,5,5_0,1,5.3589528814234555,5.072813681881568
1.0,58.52591664090258,3425.2829186578774,5,5_1,1,4.8241439267533295,5.557863976569765
1.0,63.52591664090258,4035.5420850669034,5,5_2,1,4.736181729859558,4.894227943426611
1.0,61.304803888793664,3758.2789798434505,6,6_0,1,5.53275528224455,4.742351148949738
1.0,66.30480388879366,4396.3270187313865,6,6_1,1,5.052156696158271,4.8350252727185445
1.0,71.30480388879366,5084.375057619323,6,6_2,1,4.318718682627626,5.599569666123133
1.0,73.39500392938902,5386.82660179503,7,7_0,1,4.018379736165476,6.044409066867709
1.0,78.39500392938902,6145.77664108892,7,7_1,1,4.888380256925847,5.0584116275594875
1.0,83.39500392938902,6954.72668038281,7,7_2,1,4.696662181990558,4.395621785506956
1.0,63.08956760559889,3980.2935406614324,8,8_0,1,5.070793839422651,5.226394788935742
1.0,68.08956760559889,4636.189216717421,8,8_1,1,4.089355961182612,4.129586364512575
1.0,73.08956760559889,5342.0848927734105,8,8_2,1,4.218401622259069,4.494030379655612
1.0,74.2693968166092,5515.9433035029615,9,9_0,1,5.463083685030273,4.649384616321803
1.0,79.2693968166092,6283.637271669053,9,9_1,1,5.7171469012588885,5.179845814141819
1.0,84.2693968166092,7101.331239835145,9,9_2,1,5.77250176691211,5.410700940593259
1.0,51.52037359358147,2654.3488952222065,10,10_0,1,5.691754995659704,4.930502722322032
1.0,56.52037359358147,3194.552631158021,10,10_1,1,4.675418387074469,5.601328519280652
1.0,61.52037359358147,3784.756367093836,10,10_2,1,5.3762963386737725,5.344950079757589
1.0,65.52436442080105,4293.442332749938,11,11_0,1,5.399324400071246,5.142971904922503
1.0,70.52436442080105,4973.685976957949,11,11_1,1,4.784667531251881,5.451774500373694
1.0,75.52436442080105,5703.929621165959,11,11_2,1,5.0916138663831045,4.565009696915264
1.0,65.00864210499412,4226.123548335215,12,12_0,1,5.110793638975903,4.514906674425353
1.0,70.00864210499412,4901.209969385156,12,12_1,1,5.588277567471439,5.229188623689038
1.0,75.00864210499412,5626.296390435097,12,12_2,1,4.893819956522988,4.837509468307389
1.0,62.08369539804963,3854.3852342778086,13,13_0,1,5.367158132955491,4.130386760839439
1.0,67.08369539804963,4500.222188258304,13,13_1,1,5.513315854012086,4.957121323573227
1.0,72.08369539804963,5196.059142238801,13,13_2,1,4.487368019412669,5.55711303114719
1.0,55.2627572235659,3053.972335950785,14,14_0,1,5.41363075742364,5.612904211193773
1.0,60.2627572235659,3631.599908186444,14,14_1,1,5.256756715849823,5.697072538047569
1.0,65.2627572235659,4259.227480422103,14,14_2,1,4.625809543122335,5.15372212286095
1.0,61.33454933089895,3761.926941624477,15,15_0,1,5.256779677580696,5.453837726542169
1.0,66.33454933089895,4400.272434933467,15,15_1,1,5.287415209156214,5.6210743507710585
1.0,71.33454933089895,5088.617928242456,15,15_2,1,5.364966582862123,6.022872306422221
1.0,74.81444097188121,5597.200577935098,16,16_0,1,6.017162897698507,4.534576143124727
1.0,79.81444097188121,6370.34498765391,16,16_1,1,4.425080645394784,4.365005959444063
1.0,84.81444097188121,7193.489397372722,16,16_2,1,4.183458121588799,3.9849623998373325
1.0,78.1889067194547,6113.505133983589,17,17_0,1,5.568447962870213,5.386939961945586
1.0,83.1889067194547,6920.394201178136,17,17_1,1,5.17093794447808,4.623709504358775
1.0,88.1889067194547,7777.283268372684,17,17_2,1,4.428585739305889,5.473884672075418
1.0,58.47208781520142,3418.985053468626,18,18_0,1,5.487027208303863,5.103386063743592
1.0,63.47208781520142,4028.7059316206405,18,18_1,1,5.236833411450644,5.3581239089935275
1.0,68.47208781520142,4688.426809772654,18,18_2,1,4.884473614026391,5.568933453070658
1.0,77.54136306921896,6012.662986632434,19,19_0,1,5.208997971254373,4.822666271949253
1.0,82.54136306921896,6813.076617324624,19,19_1,1,4.791422440229912,5.161778376389433
1.0,87.54136306921896,7663.490248016813,19,19_2,1,4.304262978089949,4.695944634222556
1.0,71.13313595784238,5059.9230311968895,20,20_0,1,5.852157526292114,4.638951758365165
1.0,76.13313595784238,5796.254390775313,20,20_1,1,5.253821479451417,4.4619517384786525
1.0,81.13313595784238,6582.585750353737,20,20_2,1,4.917447408156637,5.916700405831359
1.0,75.69804285522977,5730.193692112203,21,21_0,1,5.063285747561575,4.395795871605452
1.0,80.69804285522977,6512.174120664501,21,21_1,1,4.582330088127962,4.35898892855392
1.0,85.69804285522977,7344.154549216799,21,21_2,1,4.806290603215924,5.119747897868741
1.0,58.64445759202078,3439.1724062623234,22,22_0,1,4.897344016890471,5.410031559839316
1.0,63.644457592020785,4050.616982182532,22,22_1,1,5.846390523739753,4.3328607751707775
1.0,68.64445759202079,4712.06155810274,22,22_2,1,5.122321176736222,5.237149763464715
1.0,73.01269748871444,5330.853994578528,23,23_0,1,5.561844713604014,4.174918941974281
1.0,78.01269748871444,6085.9809694656715,23,23_1,1,4.446001872481301,4.830587534342452
1.0,83.01269748871444,6891.107944352816,23,23_2,1,3.9191483523134107,5.370880406085312
1.0,60.06535767280753,3607.8471923622983,24,24_0,1,5.222261212039123,4.655240442025609
1.0,65.06535767280752,4233.500769090373,24,24_1,1,4.548877081774011,5.028435375430339
1.0,70.06535767280752,4909.154345818448,24,24_2,1,4.724197800326088,3.855707768475638
1.0,63.79642831803366,4069.9842661380076,25,25_0,1,5.018516057517552,5.091603206115538
1.0,68.79642831803366,4732.948549318344,25,25_1,1,5.2955576309337795,4.415919865148403
1.0,73.79642831803366,5445.9128324986805,25,25_2,1,5.029432022224915,4.578749660125568
1.0,64.49167159202585,4159.175704733714,26,26_0,1,4.474949313563336,4.552945835143591
1.0,69.49167159202585,4829.092420653973,26,26_1,1,3.89766210027346,4.991224606758029
1.0,74.49167159202585,5549.009136574231,26,26_2,1,5.71617631420346,3.991181779903117
1.0,63.05925396061144,3976.46951006889,27,27_0,1,4.880886434730541,4.811710120298928
1.0,68.05925396061144,4632.062049675004,27,27_1,1,4.904295535185574,4.10412228249321
1.0,73.05925396061144,5337.654589281119,27,27_2,1,4.82904189319379,5.562120257765014
1.0,48.21334449545336,2324.526587437263,28,28_0,1,5.222780820810298,4.755364502316962
1.0,53.21334449545336,2831.660032391797,28,28_1,1,5.031081402981397,5.403016159588012
1.0,58.21334449545336,3388.7934773463303,28,28_2,1,5.559716719472625,5.3224587607039835
1.0,49.03249103184095,2404.185176787563,29,29_0,1,5.657117295591578,5.556591253800516
1.0,54.03249103184095,2919.5100871059726,29,29_1,1,5.593812044054121,5.566964887635616
1.0,59.03249103184095,3484.834997424382,29,29_2,1,4.690830384464148,4.994468182003296
1.0,57.65536059213214,3324.140605008784,30,30_0,1,4.871693463216003,4.789449014618785
1.0,62.65536059213214,3925.6942109301053,30,30_1,1,4.826132830523805,5.446338951651022
1.0,67.65536059213214,4577.247816851426,30,30_2,1,4.7689934870445745,5.131611353921521
1.0,66.08697986003558,4367.488907020749,31,31_0,1,4.541713510360729,4.384442199437193
1.0,71.08697986003558,5053.3587056211045,31,31_1,1,4.972243912615862,4.777117406585381
1.0,76.08697986003558,5789.228504221461,31,31_2,1,5.436344364103538,4.893264394713296
1.0,65.12354776905565,4241.076474028473,32,32_0,1,5.70603335972134,4.789626704754851
1.0,70.12354776905565,4917.311951719029,32,32_1,1,4.723071038838222,5.344711767726567
1.0,75.12354776905565,5643.547429409586,32,32_2,1,4.603287585689743,5.469930277647967
